REPORTED_WKLY_SPEND,REPORTED_WKLY_SPEND_USF,REPORTED_WKLY_SPEND_COMPETITOR_1,REPORTED_COP_SPEND,REPORTED_PRODUCE_SPEND,SMALL_QTY_RANK,DEL_FLEX_RANK,CUT_TIME_RANK,CUST_NBR,DIV_NBR,PYR_SEG_CD
862.2632692,312.2632692,0,435,345,3,7,10,119854,58,Independent Restaurant
1423.343846,23.34384616,400,40,502,3,8,6,148136,17,Independent Restaurant
84.17596155,34.17596155,0,15,25,3,1,5,67809,47,Other
446.4505556,96.45055556,0,70,17.5,3,8,9,150002,37,Hospitality
6501,1,0,3900,100,3,7,9,143264,47,Retail
4348.831442,2485.046538,1242.523269,2422.920375,745.5139615,4,3,8,123596,54,Independent Restaurant
4348.831442,2485.046538,1242.523269,2422.920375,745.5139615,4,3,8,123596,54,Independent Restaurant
31455.91357,19455.91357,0,16400,13000,4,6,7,133730,8,Education
70941.78465,13941.78465,45000,47000,17500,4,6,10,4316,32,Independent Restaurant
15010.13628,10.13627907,5000,8500,4500,4,3,7,72433,7,Independent Restaurant
17213.64346,9213.643462,6000,1400,5400,4,6,8,24611,16,National Chain
6808.5875,6558.5875,0,1762.5,2987.5,4,7,6,16492,3,Other
15179.42096,6179.420962,5000,6200,0,4,7,9,96806,34,Hospitality
1087.094808,967.0948077,0,3500,700,4,10,3,14502,35,Other
6732.865769,832.8657692,0,5600,1800,4,10,9,23072,46,Independent Restaurant
4591.400962,3139.400962,1452,0,0,4,8,10,143000,11,Other
12148.95654,4548.956538,1800,4919,2976,4,10,6,57681,6,Independent Restaurant
12148.95654,4548.956538,1800,4919,2976,4,10,6,57681,7,Independent Restaurant
6886.207692,4236.207692,0,3875,515,4,8,10,52995,34,Independent Restaurant
8703.234231,3003.234231,4200,4910,1920,4,5,10,139576,50,Independent Restaurant
6422.295385,1572.295385,1600,1050,225,4,5,6,138941,61,Regional
8319.665962,7219.665962,1000,1500,700,4,9,10,68720,28,Hospitality
13611.80423,1611.804231,0,0,1500,4,10,7,381,34,Independent Restaurant
4576.040192,1276.040192,1500,2775,0,4,3,9,108101,25,Independent Restaurant
5369.412115,1569.412115,3000,2100,2580,4,6,8,141539,3,Independent Restaurant
10203.28692,2203.286923,0,5500,550,4,1,3,130870,47,Independent Restaurant
13292.3775,4292.3775,3000,2250,0,4,1,7,52847,31,Independent Restaurant
3067.935769,3061.935769,0,0.7,2.1,4,6,9,33233,9,Independent Restaurant
14467.07865,1467.078654,3500,6350,4750,4,3,7,132106,46,Hospitality
8415.8725,715.8725,0,4125,2525,4,10,8,23158,3,Independent Restaurant
9607.410577,4107.410577,0,4800,900,4,3,2,129297,11,Independent Restaurant
6729.723077,2479.723077,0,2010,1600,4,8,9,25893,6,Independent Restaurant
